date,open,high,low,close,volume
2024-01-02,24.30,24.65,24.20,24.55,1234567
2024-01-03,24.60,25.10,24.50,24.95,1345678
2024-01-04,25.00,25.55,24.88,25.30,1456789
2024-01-05,25.35,25.88,25.20,25.65,1567890
2024-01-08,25.70,26.15,25.55,26.05,1678901
2024-01-09,26.10,26.55,25.98,26.35,1789012
2024-01-10,26.40,26.88,26.20,26.68,1890123
2024-01-11,26.75,27.15,26.55,27.00,2001234
2024-01-12,27.05,27.45,26.85,27.30,2112345
2024-01-15,27.35,27.88,27.15,27.65,2223456
2024-01-16,27.70,28.25,27.50,28.00,2334567
2024-01-17,28.05,28.65,27.88,28.35,2445678
2024-01-18,28.40,28.95,28.15,28.65,2556789
2024-01-19,28.70,29.25,28.45,28.95,2667890
2024-01-22,29.00,29.55,28.75,29.25,2778901
2024-01-23,29.30,29.95,29.05,29.65,2889012
2024-01-24,29.70,30.35,29.45,30.10,3000123
2024-01-25,30.15,30.75,29.85,30.40,3111234
2024-01-26,30.45,30.95,30.15,30.65,3222345
2024-01-29,30.70,31.25,30.35,30.85,3333456
2024-01-30,30.90,31.45,30.65,31.10,3444567
2024-01-31,31.15,31.65,30.85,31.35,3555678
2024-02-01,31.40,31.95,31.10,31.65,3666789
2024-02-02,31.65,32.25,31.35,31.95,3777890
2024-02-05,32.00,32.55,31.65,32.25,3888901
2024-02-06,32.30,32.85,32.00,32.55,3999012
2024-02-07,32.60,33.15,32.25,32.85,4110123
2024-02-08,32.90,33.45,32.55,33.15,4221234
2024-02-09,33.20,33.75,32.85,33.35,4332345
2024-02-12,33.40,33.95,33.05,33.50,4443456
2024-02-13,33.55,34.15,33.20,33.75,4554567
2024-02-14,33.80,34.45,33.45,34.05,4665678
2024-02-15,34.10,34.75,33.75,34.35,4776789
2024-02-16,34.40,35.05,34.05,34.65,4887890
2024-02-19,34.70,35.35,34.35,34.95,4998901
2024-02-20,35.00,35.65,34.65,35.25,5110012
2024-02-21,35.30,35.95,34.95,35.48,5221123
2024-02-22,35.40,35.75,34.88,35.20,5110023
2024-02-23,35.15,35.65,34.75,35.10,5008934
2024-02-26,35.05,35.55,34.60,35.00,4897845
2024-02-27,34.95,35.40,34.50,34.90,4786756
2024-02-28,34.85,35.25,34.35,34.75,4675667
2024-02-29,34.70,35.10,34.20,34.60,4564578
2024-03-01,34.55,34.95,34.05,34.45,4453489
2024-03-04,34.40,34.80,33.90,34.30,4342390
2024-03-05,34.25,34.65,33.75,34.15,4231301
2024-03-06,34.10,34.50,33.60,34.00,4120212
2024-03-07,33.95,34.35,33.45,33.85,4009123
2024-03-08,33.80,34.20,33.30,33.70,3898034
2024-03-11,33.65,34.05,33.15,33.55,3786945
2024-03-12,33.50,33.90,33.00,33.40,3675856
2024-03-13,33.35,33.75,32.85,33.25,3564767
2024-03-14,33.20,33.60,32.70,33.10,3453678
2024-03-15,33.05,33.45,32.55,32.95,3342589
2024-03-18,32.90,33.30,32.40,32.80,3231490
2024-03-19,32.75,33.15,32.25,32.65,3120401
2024-03-20,32.60,33.00,32.10,32.50,3009312
2024-03-21,32.45,32.85,31.95,32.35,2898223
2024-03-22,32.30,32.70,31.80,32.20,2787134
2024-03-25,32.15,32.55,31.65,32.05,2676045
2024-03-26,32.00,32.40,31.50,31.90,2564956
2024-03-27,31.85,32.25,31.35,31.75,2453867
2024-03-28,31.70,32.10,31.20,31.60,2342778
2024-03-29,31.55,31.95,31.05,31.45,2231689
2024-04-01,31.40,31.80,30.90,31.30,2120590
2024-04-02,31.25,31.65,30.75,31.15,2009401
2024-04-03,31.10,31.50,30.60,31.00,1998312
2024-04-04,30.95,31.35,30.45,30.85,1887223
2024-04-05,30.80,31.20,30.30,30.70,1776134
2024-04-08,30.65,31.05,30.15,30.55,1665045
2024-04-09,30.50,30.90,30.00,30.40,1553956
2024-04-10,30.35,30.75,29.85,30.25,1442867
2024-04-11,30.20,30.60,29.70,30.10,1331778
2024-04-12,30.05,30.45,29.55,29.95,1220689
2024-04-15,29.90,30.30,29.40,29.80,1109590
2024-04-16,29.75,30.15,29.25,29.65,998401
2024-04-17,29.60,30.00,29.10,29.50,887312
2024-04-18,29.45,29.85,28.95,29.35,776223
2024-04-19,29.30,29.70,28.80,29.20,665134
